Timestamp,ABC00575_Load,ABC00576_Load,ABC00574_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2022-03-08,31.0,,34.0,1.0,95.8,0.0,0.0,Ilhas Maldivas
2022-03-09,49.0,,55.0,1.0,54.2,45.8,0.0,Ilhas Maldivas
2022-03-10,42.0,,39.0,1.0,87.5,12.5,0.0,Ilhas Maldivas
2022-03-11,40.0,30.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2022-03-12,34.0,44.0,,2.0,41.7,58.3,0.0,Ilhas Maldivas
2022-03-13,34.0,46.0,,1.0,70.8,25.0,0.0,Ilhas Maldivas
2022-03-14,30.0,,16.0,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-15,31.0,29.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-16,,28.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-17,28.0,28.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-18,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-19,29.0,28.0,,1.0,75.0,25.0,0.0,Ilhas Maldivas
2022-03-20,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-21,30.0,29.0,,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-22,,29.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-23,25.0,28.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2022-03-24,,28.0,8.0,1.0,95.8,4.2,0.0,Ilhas Maldivas
2022-03-25,35.0,29.0,,1.0,83.3,12.5,0.0,Ilhas Maldivas
2022-03-26,34.0,28.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2022-03-27,26.0,24.0,,2.0,37.5,62.5,0.0,Ilhas Maldivas
2022-03-28,34.0,37.0,,2.0,8.3,91.7,0.0,Ilhas Maldivas
2022-03-29,31.0,29.0,,1.0,87.5,12.5,0.0,Ilhas Maldivas
2022-03-30,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-03-31,29.0,25.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2022-04-01,32.0,43.0,,1.0,91.7,8.3,0.0,Ilhas Maldivas
2022-04-02,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-03,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-04,30.0,26.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-05,28.0,28.0,,2.0,37.5,62.5,0.0,Ilhas Maldivas
2022-04-06,26.0,24.0,,1.0,79.2,20.8,0.0,Ilhas Maldivas
2022-04-07,45.0,46.0,,2.0,16.7,83.3,0.0,Ilhas Maldivas
2022-04-08,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-09,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-10,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-11,30.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-12,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-13,29.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-14,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-15,31.0,,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-16,31.0,27.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-17,,27.0,,1.0,100.0,0.0,0.0,Ilhas Maldivas
2022-04-18,44.0,31.0,,1.0,79.2,20.8,0.0,Ilhas Maldivas
2022-04-19,48.0,31.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-20,37.0,31.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-21,46.0,31.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-22,38.0,30.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-23,38.0,31.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-24,47.0,30.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-25,37.0,32.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-26,41.0,33.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-27,38.0,31.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
2022-04-28,43.0,31.0,,1.0,83.3,16.7,0.0,Ilhas Maldivas
